CATEGORY,UUID,ENTRY,USERNAME,PASSWORD,URL,URLS,SCOPE,AUTOSUBMIT,TAGS,NOTES,SECTION 1: 96BB2EF7-5168-D14A-3FAA-839A47E2653E,96BB2EF7-5168-D14A-3FAA-839A47E2653E 1: CALLED OTHER FIELDS,SECTION 1: AD65AF90-F057-6BD9-9A6F-B1FDD8796751,AD65AF90-F057-6BD9-9A6F-B1FDD8796751 1: PHONE NUMBER,SECTION 1: Q2N36GRMHGNBUUDEIY7QJVD6EE,Q2N36GRMHGNBUUDEIY7QJVD6EE 1: ACCOUNT,SECTION 1: SDI6WJ7SUEJAAI6ZFLFCTG56QA,SDI6WJ7SUEJAAI6ZFLFCTG56QA 1: PIN,1: VERSION,2: LICENSE KEY,SECTION 2: CUSTOMER,CUSTOMER 1: LICENSED TO,SECTION 3: PUBLISHER,SECTION 4: 3DCFCA69-D9BA-E36D-EF8E-3DEEBEFFC1EA,SECTION 5: ORDER,1: BANK NAME,2: NAME ON ACCOUNT,3: ROUTING NUMBER,4: ACCOUNT NUMBER,5: PIN,6: SECTION FIELD,7: SECTION FIELD,SECTION 2: BRANCHINFO,1: NUMBER,2: VERIFICATION NUMBER,3: CARDHOLDER NAME,SECTION 2: 91ACE292-8A23-7400-AE0F-7ACB23D46681,91ACE292-8A23-7400-AE0F-7ACB23D46681 1: PIN,91ACE292-8A23-7400-AE0F-7ACB23D46681 2: BANK,91ACE292-8A23-7400-AE0F-7ACB23D46681 3: NOTE FIELD,91ACE292-8A23-7400-AE0F-7ACB23D46681 4: CREDIT LIMIT,91ACE292-8A23-7400-AE0F-7ACB23D46681 5: PASSWORD,91ACE292-8A23-7400-AE0F-7ACB23D46681 6: BILLING DUE DATE,91ACE292-8A23-7400-AE0F-7ACB23D46681 7: PHONE,91ACE292-8A23-7400-AE0F-7ACB23D46681 8: WEBSITE,SECTION 4: F0E98FA4-305E-1271-8A22-BB6C52D733CE,1: CARDHOLDER NAME,2: NUMBER,3: VERIFICATION NUMBER,4: EXPIRY DATE,5: VALID FROM,6: LABEL FIELD,SECTION 2: CONTACTINFO,CONTACTINFO 1: ISSUING BANK,CONTACTINFO 2: PHONE (LOCAL),CONTACTINFO 3: PHONE (TOLL FREE),CONTACTINFO 4: WEBSITE,SECTION 3: DETAILS,DETAILS 1: PIN,DETAILS 2: CREDIT LIMIT,DETAILS 3: CASH WITHDRAWAL LIMIT,DETAILS 4: INTEREST RATE,SECTION 2: DC1B1335-0D30-657E-A945-F425DBD7388E,DC1B1335-0D30-657E-A945-F425DBD7388E 1: PIN,DC1B1335-0D30-657E-A945-F425DBD7388E 2: BANK,DC1B1335-0D30-657E-A945-F425DBD7388E 3: NOTE,DC1B1335-0D30-657E-A945-F425DBD7388E 4: CREDIT LIMIT,DC1B1335-0D30-657E-A945-F425DBD7388E 5: DUE DATE,2: EXPIRY DATE,4: CARDHOLDER NAME,SECTION 2: F43FB93A-2141-BE59-C829-C2728A4BD819,F43FB93A-2141-BE59-C829-C2728A4BD819 1: PIN,F43FB93A-2141-BE59-C829-C2728A4BD819 2: BANK,F43FB93A-2141-BE59-C829-C2728A4BD819 3: NOTE,F43FB93A-2141-BE59-C829-C2728A4BD819 4: CREDIT LIMIT,F43FB93A-2141-BE59-C829-C2728A4BD819 5: DUE DATE,SECTION 2: 1A1329EF-0D76-B7B7-DB5F-01282B7AA09D,1A1329EF-0D76-B7B7-DB5F-01282B7AA09D 1: PASSWORD,SECTION 4: DE8FBF6E-1E8D-FB40-CA59-4922CE1F72DE,SECTION 1: NAME,NAME 1: FIRST NAME,NAME 2: LAST NAME,NAME 3: SEX,NAME 4: BIRTH DATE,NAME 5: OCCUPATION,NAME 6: COMPANY,NAME 7: DEPARTMENT,NAME 8: JOB TITLE,SECTION 2: ADDRESS,ADDRESS 1: ADDRESS,ADDRESS 2: DEFAULT PHONE,ADDRESS 3: HOME,ADDRESS 4: CELL,ADDRESS 5: BUSINESS,ADDRESS 6: SECTION FIELD,SECTION 3: INTERNET,INTERNET 1: EMAIL,SECTION 4: CIGDTLCYQAYS673A6CMN42LR3Q,CIGDTLCYQAYS673A6CMN42LR3Q 1: SECTION FIELD,CIGDTLCYQAYS673A6CMN42LR3Q 2: SECTION FIELD,1: GROUP,2: WEBSITE,3: TELEPHONE,4: MEMBER NAME,5: MEMBER SINCE,6: EXPIRY DATE,7: MEMBER ID,8: PIN,SECTION 4: EE29F6CB-3E17-D83B-6C91-77B73920A135,SECTION 4: 7C742339-15FF-553C-E3F1-B0CE6FE749CB,SECTION 4: 294F5C79-C967-C858-E31C-9A20E8F1F580,SECTION 4: 2251D588-4949-25A8-F332-EEF3B133DB38,SECTION 1: CJSGHDSXLWTEIKCFVQMXYF4Z64,CJSGHDSXLWTEIKCFVQMXYF4Z64 1: SECTION FIELD,CJSGHDSXLWTEIKCFVQMXYF4Z64 2: SECTION FIELD,SECTION 2: DR77AES3NACDVFXQP56J32IFWI,DR77AES3NACDVFXQP56J32IFWI 1: SECTION FIELD,DR77AES3NACDVFXQP56J32IFWI 2: SECTION FIELD,SECTION 3: G7VE24EKK2CNQTYKISU7UR5FTY,G7VE24EKK2CNQTYKISU7UR5FTY 1: SECTION FIELD,G7VE24EKK2CNQTYKISU7UR5FTY 2: SECTION FIELD,G7VE24EKK2CNQTYKISU7UR5FTY 3: SECTION FIELD,SECTION 4: OW3OPXZBA5UMEYMV265KQV2EM4,OW3OPXZBA5UMEYMV265KQV2EM4 1: SECTION FIELD,OW3OPXZBA5UMEYMV265KQV2EM4 2: SECTION FIELD,SECTION 5: CIZGUCUG5S4FEZI3LIPVVIUZ4Q,CIZGUCUG5S4FEZI3LIPVVIUZ4Q 1: SECTION FIELD,CIZGUCUG5S4FEZI3LIPVVIUZ4Q 2: WATCH VIDEOS,CIZGUCUG5S4FEZI3LIPVVIUZ4Q 3: GET SUPPORT,CIZGUCUG5S4FEZI3LIPVVIUZ4Q 4: READ THE BLOG,CIZGUCUG5S4FEZI3LIPVVIUZ4Q 5: CONTACT US
1Password,x6wpocxszbbfbi5nc2eplp3b2q,Airbnb,wendy@appleseed.com,V#k#ESBRJ3,https://www.airbnb.ca,https://www.airbnb.ca,Default,Default,CSV Import 6-18-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1Password,nye7ocvx5u4zwzrixadazb336y,American Airlines,customer1974,i5VWaOO0Rsuf0GbW,,,Default,Default,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1Password,n5rczmuf25b2vk5io7soafl5yy,Envato,wendyaplsd,"H^4[q,yc-$dg",https://account.envato.com,https://account.envato.com,Default,Default,CSV Import 6-18-20,This is a login item with comma in the password,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1Password,4t7gd2awnvdrroyamoq42626pm,GitLab,wendycodes,SJcv;W*$S,https://www.gitlab.com,https://www.gitlab.com,Default,Default,"CSV Import 6-18-20,2FA",This item has a custom field recording 2FA recovery codes,Other Fields,"c584debad339c771
a9238ce3f9e96abc
925b98f25ec7ec76
df32e0d015285b36",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1Password,yuzlcrtss5ftpfm3f3vsazmdv4,Instagram,helloitswendy,"elz|^<_,7B",https://www.instagram.com,https://www.instagram.com,Default,Default,CSV Import 6-18-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1Password,uylwwr4zzbahhoq4z7den7bvku,MEC,wendythecanadian,h-pLM?fas*L,https://www.mec.ca,https://www.mec.ca,Default,Default,CSV Import 6-18-20,This item has a custom field recording a member number for this co-op,,,Other Fields,908-555-1212,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1Password,6vric2hmj2kozb2iseytbffouq,Porter,mmalibu78,6r2Tzur^7W5y9k5,,,Default,Default,,,,,,,Other Fields,123456789-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1Password,lnvmeefalnqavpwqnx4suvgl3e,Southwest,RalphN552drive@example.com,frigidity monoxide surfboard tanning impolite quench,,,Default,Default,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1Password,4z4mmibcmetjcgorxhi4owkvmi,Virgin Galactic,arkadybogdanov80,"!q7m5KHlQec,s~0~",,,Default,Default,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1Password,gppv5qqpdqgijgu4owycpuwqdq,Work Alarm Code,,,,,Default,Default,,,,,,,,,Other Fields,999451,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1Password,gmtocl6z4na6lb65svotfxn4za,www.etsy.com,,aNfbg'>o(p4,www.etsy.com,www.etsy.com,Default,Default,CSV Import 6-18-20,This item does not have a title or username,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1Password,rocxqjioxtk6gdjpirpdyvxycy,Zetetic Support,,carload dismiss ignition train unashamed,https://www.zetetic.net/contact/,https://www.zetetic.net/contact/,Default,Default,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
